"","Year","Site","Type","Time","LT_Fledge_Ratio_Nest","LT_Fledge_Ratio_BPE","PP_Fledge_Ratio_Nest","PP_Fledge_Ratio_BPE"
"1",2024,"Blue Hole","Control","After",1,0.6923,0.8889,0.6667
"2",2024,"Cottonwood Ranch","Control","After",0.1538,0.0909,0.3333,0.5
"3",2024,"Dyer","Control","After",0,0,0.25,0.1875
"4",2024,"Follmer","Control","After",1.0833,0.65,0,0
"5",2024,"Kearney Broadfoot South","Treatment","After",0.25,0.2222,0.0769,0.0769
"6",2024,"Leaman","Treatment","After",1,0.5625,1.5,0.5
"7",2024,"Newark East","Control","After",0.525,0.3818,2.1667,1.4444
"8",2024,"Newark West","Treatment","After",0.9375,0.75,1.5714,1.8333
"9",2024,"NPPD Lexington","Control","After",0,0,0,0
"10",2024,"OSG Lexington","Control","After",0.2381,0.1282,0.75,0.4286
"11",2023,"Blue Hole","Control","After",0.85,0.7083,1.4286,0.8333
"12",2023,"Cottonwood Ranch","Control","After",2.8333,1.3077,0.6667,0.5
"13",2023,"Dyer","Control","After",1.3571,0.95,1.7778,1.1429
"14",2023,"Kearney Broadfoot South","Treatment","After",0.4444,0.4444,1.625,0.8667
"15",2023,"Newark East","Control","After",1.0976,1.0976,1,0.9167
"16",2023,"Newark West","Treatment","After",1.6,1,0.3333,0.1667
"17",2023,"OSG Lexington","Control","After",0.1818,0.1429,0.6667,0.3333
"18",2022,"Blue Hole","Control","After",2,1.3,2.4,1.5
"19",2022,"Cottonwood Ranch","Control","After",1.7,0.9444,1,0.5
"20",2022,"Dyer","Control","After",0.3125,0.2,1.2727,1.1667
"21",2022,"Kearney Broadfoot South","Treatment","After",1.1176,1.1176,0.8,0.8
"22",2022,"Leaman","Treatment","After",0,0,0,0
"23",2022,"Newark East","Control","After",1.1351,1.1667,1.7143,0.9231
"24",2022,"Newark West","Treatment","After",0.5556,0.3571,0,0
"25",2022,"NPPD Lexington","Control","After",0,0,0,0
"26",2022,"OSG Lexington","Control","After",2.1111,1.0556,1.3333,0.6667
"27",2021,"Blue Hole","Control","After",0.4,0.2222,0.1429,0.1
"28",2021,"Dyer","Control","After",1.6842,1.1429,1.125,0.75
"29",2021,"Kearney Broadfoot South","Treatment","After",0.3,0.24,0.1538,0.1818
"30",2021,"Newark East","Control","After",1.8333,1.2222,2.4,1.7143
"31",2021,"Newark West","Treatment","After",1.2222,0.55,1,0.8
"32",2021,"NPPD Lexington","Control","After",0.7,0.3889,1.4,0.875
"33",2021,"OSG Lexington","Control","After",0,0,0,0
"34",2020,"Blue Hole","Control","Before",0.75,0.5,1,0.7778
"35",2020,"Cottonwood Ranch","Control","Before",2.5,0.8333,1,0.25
"36",2020,"Dyer","Control","Before",1.1333,0.68,0.8571,0.8571
"37",2020,"Kearney Broadfoot South","Treatment","Before",0.7586,0.6875,0.3333,0.2143
"38",2020,"Leaman","Treatment","Before",1.5,0.8571,0,0
"39",2020,"Newark East","Control","Before",1.25,1,0.5,0.375
"40",2020,"Newark West","Treatment","Before",1.375,0.8462,1,0.3333
"41",2020,"NPPD Lexington","Control","Before",0.7857,0.4783,1.8333,1.2222
"42",2019,"Blue Hole","Control","Before",0.2222,0.1111,0.75,0.375
"43",2019,"Dyer","Control","Before",0.85,0.6296,0.7857,0.5789
"44",2019,"Kearney Broadfoot South","Treatment","Before",0.2,0.2,0,0
"45",2019,"Leaman","Treatment","Before",0,0,0,0
"46",2019,"Newark East","Control","Before",0.7429,0.7027,0.1429,0.1
"47",2019,"Newark West","Treatment","Before",0.375,0.3158,1,0.375
"48",2019,"NPPD Lexington","Control","Before",0.5882,0.5,2.4,1.3333
"49",2018,"Blue Hole","Control","Before",0.3333,0.1765,0.25,0.2143
"50",2018,"Dyer","Control","Before",1.087,1.1364,0.6,0.25
"51",2018,"Kearney Broadfoot South","Treatment","Before",0.5556,0.4286,0.5,0.3636
"52",2018,"Leaman","Treatment","Before",0,0,0,0
"53",2018,"Newark East","Control","Before",1.6087,1.48,2,1.2
"54",2018,"Newark West","Treatment","Before",1.6364,1,0,0
"55",2018,"NPPD Lexington","Control","Before",1.7778,0.8,1.75,0.875
"56",2017,"Blue Hole","Control","Before",0.9412,0.6957,1.6667,1.1765
"57",2017,"Dyer","Control","Before",1.9091,1.4,0.75,0.375
"58",2017,"Kearney Broadfoot South","Treatment","Before",0.2258,0.2692,0.2,0.1667
"59",2017,"Leaman","Treatment","Before",0,0,0,0
"60",2017,"Newark East","Control","Before",1.1,0.7857,4,1.3333
"61",2017,"Newark West","Treatment","Before",0.7333,0.6111,1.375,1
"62",2017,"NPPD Lexington","Control","Before",0.9091,0.5,1.25,0.5
"63",2016,"Blue Hole","Control","Before",0.3684,0.3889,1.125,0.4286
"64",2016,"Dyer","Control","Before",1,0.6429,0,0
"65",2016,"Kearney Broadfoot South","Treatment","Before",0.9524,0.5405,0.5,0.3077
"66",2016,"Leaman","Treatment","Before",0.4286,0.25,2.75,1.375
"67",2016,"Newark East","Control","Before",2,0.2857,1.6667,0.8333
"68",2016,"Newark West","Treatment","Before",0.6,0.2857,1.4286,1
"69",2016,"NPPD Lexington","Control","Before",0.7273,0.5333,0.6667,0.4
"70",2015,"Blue Hole","Control","Before",1.1818,0.7647,1.7273,0.95
"71",2015,"Cottonwood Ranch","Control","Before",0.5,0.2105,2,0.3333
"72",2015,"Dyer","Control","Before",0.8333,0.3571,0.25,0.125
"73",2015,"Kearney Broadfoot South","Treatment","Before",0.4545,0.1351,0.0909,0.0714
"74",2015,"Leaman","Treatment","Before",0.7027,0.7879,1.1667,0.7
"75",2015,"Newark West","Treatment","Before",1.087,0.8333,1,0.6667
"76",2015,"NPPD Lexington","Control","Before",1,0.4167,1.5,0.375
"77",2014,"Blue Hole","Control","Before",0.9231,0.8,1.6667,0.625
"78",2014,"Cottonwood Ranch","Control","Before",0.5,0.3333,1.5,0.375
"79",2014,"Kearney Broadfoot South","Treatment","Before",0.4,0.05,0,0
"80",2014,"Leaman","Treatment","Before",0.5926,0.4706,2,1
"81",2014,"Newark West","Treatment","Before",0.5333,0.32,0.6667,0.4
"82",2013,"Blue Hole","Control","Before",1,0.7273,1.1667,0.7
"83",2013,"Cottonwood Ranch","Control","Before",0,0,0,0
"84",2013,"Dyer","Control","Before",0.3077,0.2,0.25,0.1
"85",2013,"Kearney Broadfoot South","Treatment","Before",1,0.5238,1,0.1765
"86",2013,"Leaman","Treatment","Before",0,0,4,0.6667
"87",2013,"Newark West","Treatment","Before",2,0.2857,1,0.4
"88",2012,"Blue Hole","Control","Before",1,0.4074,1.1875,0.9048
"89",2012,"NPPD Lexington","Control","Before",1.25,0.7143,1,0.6667
"90",2011,"Blue Hole","Control","Before",1.2917,0.9394,2.3636,1.4444
"91",2011,"Dyer","Control","Before",0.4,0.1667,0,0
"92",2011,"Kearney Broadfoot South","Treatment","Before",0.8,0.5217,0.75,0.4615
"93",2011,"NPPD Lexington","Control","Before",1.1,0.6875,0.5,0.3
"94",2010,"Blue Hole","Control","Before",0.0909,0.08,2.2857,1.0667
"95",2010,"Kearney Broadfoot South","Treatment","Before",1,0.15,0,0
"96",2010,"NPPD Lexington","Control","Before",1.381,1,1.6667,1
